City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,twin falls,42.3505,-114.6445,49.89,76,0,10.36,US,1706662114
1,takoradi,4.8845,-1.7554,79.45,83,14,6.78,GH,1706662115
2,papatowai,-46.5619,169.4708,65.62,58,100,7.31,NZ,1706662115
3,lorengau,-2.0226,147.2712,83.39,81,100,10.85,PG,1706662115
4,college,64.8569,-147.8028,-14.85,64,75,0.0,US,1706662115
5,nova vicosa,-17.8919,-39.3719,77.86,90,100,10.98,BR,1706662115
6,egilsstadir,65.2653,-14.3948,30.11,69,75,9.22,IS,1706662115
7,edinburgh of the seven seas,-37.0676,-12.3116,57.15,58,46,4.38,SH,1706662116
8,bethel,41.3712,-73.414,34.65,76,100,6.91,US,1706662013
9,gokarna,14.55,74.3167,72.01,70,13,4.54,IN,1706662116
10,waitangi,-43.9535,-176.5597,63.82,97,100,5.01,NZ,1706662116
11,mahina,-17.5065,-149.489,85.75,74,99,5.77,PF,1706662116
12,tvoroyri,61.5556,-6.8111,45.75,92,100,35.46,FO,1706662117
13,adamstown,-25.066,-130.1015,76.8,76,100,27.42,PN,1706662117
14,iqaluit,63.7506,-68.5145,-7.87,71,100,6.91,CA,1706662117
15,port-aux-francais,-49.35,70.2167,38.98,73,84,31.99,TF,1706662117
16,hammerfest,70.6634,23.6821,39.65,75,20,36.82,NO,1706661932
17,bamboo flat,11.7,92.7167,78.89,89,40,2.3,IN,1706662117
18,kone,-21.0595,164.8658,83.25,70,87,3.85,NC,1706662118
19,longyearbyen,78.2186,15.6401,22.84,68,75,11.5,SJ,1706662118
20,bengkulu,-3.8004,102.2655,78.06,86,100,3.22,ID,1706662118
21,dolores hidalgo cuna de la independencia nacional,21.1561,-100.9308,66.87,30,100,6.78,MX,1706661953
22,abdulino,53.7,53.6667,28.09,90,100,18.75,RU,1706662118
23,ta`u,-14.2336,-169.5144,84.31,75,64,8.32,AS,1706662118
24,lihue,21.9789,-159.3672,76.73,83,75,6.91,US,1706662119
25,fort bragg,35.139,-79.006,47.8,72,100,0.0,US,1706662119
26,ribeira grande,38.5167,-28.7,57.78,88,83,5.99,PT,1706662119
27,tsiombe,-25.3,45.4833,73.9,82,70,13.96,MG,1706662119
28,tazovsky,67.4667,78.7,-5.73,92,90,14.81,RU,1706662119
29,hawera,-39.5917,174.2833,70.74,63,42,12.17,NZ,1706662119
30,barra de santo antonio,-9.4047,-35.5072,76.28,79,0,7.31,BR,1706662120
31,palmer,42.1584,-72.3287,29.8,76,100,3.0,US,1706662120
32,christchurch,-43.5333,172.6333,73.47,61,0,24.16,NZ,1706662012
33,hovd,48.0056,91.6419,-6.65,97,100,1.28,MN,1706662120
34,whitehorse,60.7161,-135.0538,34.57,51,20,14.97,CA,1706662120
35,utrik,11.2278,169.8474,79.05,75,100,17.94,MH,1706662120
36,badger,64.8,-147.5333,-14.93,64,75,0.0,US,1706662120
37,lebu,-37.6167,-73.65,59.47,80,0,12.91,CL,1706662121
38,grytviken,-54.2811,-36.5092,38.37,81,22,10.6,GS,1706662121
39,kapa'a,22.0752,-159.319,77.47,74,75,6.91,US,1706662121
40,blackmans bay,-43.0167,147.3167,68.74,43,87,1.99,AU,1706662121
41,wayne,42.2506,-83.2833,35.62,95,100,3.44,US,1706662121
42,urangan,-25.3,152.9,84.2,80,100,11.01,AU,1706662122
43,juan de ayolas,-27.4,-56.9,77.81,58,0,8.14,PY,1706662122
44,kununurra,-15.7667,128.7333,80.58,83,40,5.75,AU,1706662122
45,hinton,53.4001,-117.5857,31.12,92,45,4.61,CA,1706662122
46,avarua,-21.2078,-159.775,84.25,70,75,5.75,CK,1706662122
47,hun,29.1268,15.9477,46.26,82,6,6.98,LY,1706662122
48,isafjordur,66.0755,-23.124,26.1,80,62,10.45,IS,1706662123
49,emerald,-23.5333,148.1667,83.34,83,93,5.93,AU,1706661934
50,bredasdorp,-34.5322,20.0403,65.55,95,58,4.97,ZA,1706662123
51,lluta,-16.0147,-72.0142,55.49,68,100,1.25,PE,1706662123
52,okeechobee,27.2439,-80.8298,63.0,69,0,0.0,US,1706662095
53,ongjin,37.9347,125.3619,37.26,47,13,3.15,KP,1706662123
54,margaret river,-33.95,115.0667,76.82,47,0,5.7,AU,1706662124
55,el fasher,13.6279,25.3494,58.98,25,5,7.27,SD,1706662124
56,codrington,-38.2667,141.9667,67.39,58,0,12.82,AU,1706662124
57,olonkinbyen,70.9221,-8.7187,24.84,78,100,12.8,SJ,1706662124
58,fort portal,0.6617,30.2748,66.79,51,100,1.63,UG,1706662124
59,ilulissat,69.2167,-51.1,-11.18,49,26,6.91,GL,1706662124
60,mulanje,-16.0316,35.5,65.34,82,4,3.78,MW,1706662125
61,keflavik,64.0049,-22.5624,30.11,93,20,27.63,IS,1706662125
62,waat,51.1454,6.4958,45.9,91,100,3.44,DE,1706662125
63,jamestown,42.097,-79.2353,35.19,90,100,5.75,US,1706661977
64,carnarvon,-24.8667,113.6333,90.16,47,0,12.26,AU,1706662125
65,west island,-12.1568,96.8225,82.38,74,41,6.91,CC,1706662125
